"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"62",0.2,0.03786,1.5,0.02714,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01395,2.26084110054627,2.2811836264069,2.24647605153452,2.2114992215123
"63",0.10278,0.01946,1.5,0.03786,0.818181818181818,0.01,8.99999999999999,0.01395,8.99999999999999,0.01,2.39698501743514,2.2136944388026,2.26765063941257,2.12166990434968
"64",0.10278,0.01395,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.30795876547739,2.34915899580455,2.15067671749394,2.19220552122411
"65",0.07368,0.01395,0.818181818181818,0.01946,8.99999999999999,0.01395,8.99999999999999,0.01,8.99999999999999,0.01,2.28493158988691,2.36756239132647,2.11988807998064,2.22761793880597
"66",0.07368,0.03786,0.428571428571429,0.01946,0.818181818181818,0.01,1.5,0.01,1.5,0.01,0.363189897403376,0.382433288454579,0.373459195695584,0.380917618446461
"67",0.10278,0.01,1.5,0.01,0.818181818181818,0.01,1.5,0.01,3,0.01,0.381648647731678,0.378402585918625,0.374784875268358,0.365163891081338
"68",0.10278,0.01395,3,0.03786,3,0.01946,8.99999999999999,0.01,8.99999999999999,0.01,2.4380945196453,2.32721512362384,2.00462877047128,2.23006158625957
"69",0.2,0.2,0.176470588235294,0.03786,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.42929156471165,2.45490524903274,2.21332171642362,1.90248146983198
"70",0.07368,0.02714,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.4285272209586,2.43796408482809,2.01458018149281,2.1189285127205
"71",0.07368,0.01,8.99999999999999,0.01946,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.33808961571762,2.31571033431104,2.19625253809551,2.14994751187583
"72",0.10278,0.03786,8.99999999999999,0.10278,0.428571428571429,0.01,8.99999999999999,0.01946,8.99999999999999,0.01,2.42955140772175,2.28572931320847,2.26530561538099,2.01941366368879
"73",0.10278,0.03786,0.818181818181818,0.03786,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.765846821205885,0.763374944557695,0.720857310317492,0.749920923918928
"74",0.10278,0.01395,0.818181818181818,0.03786,0.818181818181818,0.01,8.99999999999999,0.01,1.5,0.01,0.376383598426272,0.376712078044676,0.377470123362998,0.369434200166053
"75",0.05282,0.01,0.818181818181818,0.01,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.386810584912209,0.396771647320617,0.354140224158858,0.362277543608315
"76",0.05282,0.01,0.818181818181818,0.03786,0.428571428571429,0.01,8.99999999999999,0.01,1.5,0.01,2.34297819713261,2.17861020557731,2.29406531257447,2.18434628471561
"77",0.10278,0.01,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.31256640950753,2.35894675854361,2.20401758778454,2.12446924416431
"78",0.07368,0.01,1.5,0.01,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.786286266151429,0.780469799286634,0.726431382769721,0.706812551792215
